Name,Function,storage,epoch
node_2,Pings,520,1
node_1,Pings,520,1
node_0,Pings,520,1
node_3,Pings,520,1
node_0,Pings,776,2
node_3,Pings,776,2
node_2,Pings,776,2
node_5,Pings,776,2
node_1,Pings,776,2
node_4,Pings,776,2
node_2,Pings,1032,3
node_1,Pings,1032,3
node_7,Pings,1032,3
node_0,Pings,1032,3
node_4,Pings,1032,3
node_5,Pings,1032,3
node_6,Pings,1032,3
node_3,Pings,1032,3
node_9,Pings,1288,4
node_4,Pings,1288,4
node_2,Pings,1288,4
node_1,Pings,1288,4
node_3,Pings,1288,4
node_0,Pings,1288,4
node_8,Pings,1288,4
node_7,Pings,1288,4
node_5,Pings,1288,4
node_6,Pings,1288,4
node_9,Pings,1544,5
node_8,Pings,1544,5
node_1,Pings,1544,5
node_10,Pings,1544,5
node_11,Pings,1544,5
node_3,Pings,1544,5
node_4,Pings,1544,5
node_7,Pings,1544,5
node_6,Pings,1544,5
node_5,Pings,1544,5
node_2,Pings,1544,5
node_0,Pings,1544,5
node_7,Pings,1800,6
node_1,Pings,1800,6
node_2,Pings,1800,6
node_5,Pings,1800,6
node_6,Pings,1800,6
node_10,Pings,1800,6
node_12,Pings,1800,6
node_4,Pings,1800,6
node_11,Pings,1800,6
node_0,Pings,1800,6
node_8,Pings,1800,6
node_13,Pings,1800,6
node_3,Pings,1800,6
node_9,Pings,1800,6
node_3,Pings,2056,7
node_11,Pings,2056,7
node_14,Pings,2056,7
node_0,Pings,2056,7
node_6,Pings,2056,7
node_1,Pings,2056,7
node_8,Pings,2056,7
node_12,Pings,2056,7
node_7,Pings,2056,7
node_13,Pings,2056,7
node_2,Pings,2056,7
node_15,Pings,2056,7
node_4,Pings,2056,7
node_9,Pings,2056,7
node_10,Pings,2056,7
node_5,Pings,2056,7
node_11,Pings,2312,8
node_9,Pings,2312,8
node_7,Pings,2312,8
node_14,Pings,2312,8
node_10,Pings,2312,8
node_17,Pings,2312,8
node_0,Pings,2312,8
node_8,Pings,2312,8
node_2,Pings,2312,8
node_6,Pings,2312,8
node_5,Pings,2312,8
node_4,Pings,2312,8
node_3,Pings,2312,8
node_12,Pings,2312,8
node_1,Pings,2312,8
node_16,Pings,2312,8
node_13,Pings,2312,8
node_15,Pings,2312,8
node_6,Pings,2568,9
node_16,Pings,2568,9
node_8,Pings,2568,9
node_9,Pings,2568,9
node_1,Pings,2568,9
node_5,Pings,2568,9
node_14,Pings,2568,9
node_3,Pings,2568,9
node_10,Pings,2568,9
node_15,Pings,2568,9
node_13,Pings,2568,9
node_4,Pings,2568,9
node_2,Pings,2568,9
node_19,Pings,2568,9
node_12,Pings,2568,9
node_0,Pings,2568,9
node_11,Pings,2568,9
node_18,Pings,2568,9
node_17,Pings,2568,9
node_7,Pings,2568,9
